zone,min,max,mean,std,count
1.0,-0.05116349,0.103512265,0.023734525,0.025230082,1392
2.0,-0.06352066,0.116678394,0.02604086,0.027253786,3211
3.0,-0.06127022,0.10468612,0.023993602,0.026741065,3887
4.0,-0.053808868,0.10600193,0.02174097,0.024509141,3734
5.0,-0.046945456,0.092314415,0.018609157,0.02204192,2903
6.0,-0.03526723,0.092710175,0.016166832,0.02084043,2062
7.0,-0.039057456,0.102140404,0.018916154,0.022867389,942
8.0,-0.038962696,0.09916874,0.01928151,0.023050776,303
9.0,-0.031202493,0.07551596,0.015370868,0.021185925,37
10.0,-0.005837334,0.034268875,0.011709062,0.013011948,10
